"","issn_merge","year","rank","sourceid","title","type","issn","sjr","sjr_best_quartile","h_index","total_docs_year","total_docs_3years","total_refs","total_cites_3years","citable_docs_3years","cites_doc_2years","ref_doc","country","region","publisher","coverage","categories","areas","issn_short","Journal","Issn","Eissn","Description","Publisher","Societies","Author.guideline.url","Data.citation.score","Data.citation.justification","Data.transparency.score","Data.transparency.justification","Analysis.code.transparency.score","Analysis.code.transparency.justification","Materials.transparency.score","Materials.transparency.justification","Design...analysis.reporting.guidelines.score","Design...analysis.reporting.guidelines.justification","Study.preregistration.score","Study.preregistration.justification","Analysis.plan.preregistration.score","Analysis.plan.preregistration.justification","Replication.score","Replication.justification","Registered.reports...publication.bias.score","Registered.reports...publication.bias.justification","Open.science.badges.score","Open.science.badges.justification","top_factor"
"22","00014273","2023",113,20191,"Academy of Management Journal","journal","00014273",8.271,"Q1",375,73,223,7952,2620,221,10.01,108.93,"United States","Northern America","Academy of Management","1975-1987, 1989-2023","Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)","Business, Management and Accounting","00014273","Academy of Management Journal","0001-4273","1948-0989","""The mission of Academy of Management Journal (AMJ) is to publish empirical research that tests, extends, or builds management theory and contributes to management practice. All empirical methods including, but not limited to, qualitative, quantitative, field, laboratory, meta-analytic, and mixed methods are welcome. To be published in AMJ, the research must make strong empirical and theoretical contributions and the manuscript should highlight the relevance of those contributions to management practice. Authors should strive to produce original, insightful, interesting, important, and theoretically bold research that demonstrates a significant ""value-added"" contribution to the field's understanding of an issue or topic.""","","","https://aom.org/research/publishing-with-aom/author-resources/submitting-to-amj",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"46","00014826","2023",324,28096,"Accounting Review","journal","00014826, 15587967",4.64,"Q1",192,165,270,10817,1573,268,4.67,65.56,"United States","Northern America","American Accounting Association","1996-2023","Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance","00014826","The Accounting Review","0001-4826","1558-7967","""The American Accounting Association is the largest community of accountants in academia. Founded in 1916, we have a rich history built on leading-edge research and publications. The diversity of our membership creates a fertile environment for collaboration and innovation.""","","","https://aaahq.org/portals/0/documents/publications/00_MANUSCRIPT_PREPARATION_AND_STYLE_11.29.22.pdf",0,"No mention",1,"Requires Data Availability Statement",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",1
"74","00015547","2023",9551,18385,"Acta Cytologica","journal","00015547, 19382650",0.565,"Q2",65,67,203,2097,380,189,1.61,31.3,"Switzerland","Western Europe","S. Karger AG","1960-2023","Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2); Histology (Q3)","Medicine","00015547","Acta Cytologica","0001-5547","1938-2650","""With articles offering an excellent balance between clinical cytology and cytopathology, Acta Cytologica fosters the understanding of the pathogenetic mechanisms behind cytomorphology and thus facilitates the translation of frontline research into clinical practice.""","Karger","","https://karger.com/acy/pages/guidelines",1,"""Other pre-published or related materials with a DOI, e.g. preprint manuscripts, datasets, and code, may be included.""",1,"""Authors are required to provide a Data Availability Statement in their article that details whether data are available and where they can be found.""",0,"No mention",0,"No mention",1,"""Authors are asked to follow the EQUATOR Network for Research Articles.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",3
"83","00015792","2023",7665,25419,"Acta Haematologica","journal","00015792, 14219662",0.686,"Q2",62,87,274,2432,590,238,1.77,27.95,"Switzerland","Western Europe","S. Karger AG","1948-2023","Hematology (Q2); Medicine (miscellaneous) (Q2)","Medicine","00015792","Acta Haematologica","0001-5792","1421-9662","""Acta Haematologica is a well-established and internationally recognized clinically oriented journal featuring balanced, wide-ranging coverage of current hematology research.""","Karger","","https://karger.com/aha/pages/guidelines",1,"""Other pre-published or related materials with a DOI, e.g. preprint manuscripts, datasets, and code, may be included.""",1,"""Authors are required to provide a Data Availability Statement in their article that details whether data are available and where they can be found.""",0,"No mention",0,"No mention",1,"""Authors are asked to follow the EQUATOR Network for Research Articles.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",3
"115","00016322","2023",312,17552,"Acta Neuropathologica","journal","00016322, 14320533",4.72,"Q1",215,123,409,5679,3917,329,8.39,46.17,"Germany","Western Europe","Springer Science and Business Media Deutschland GmbH","1961-2023","Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)","Medicine; Neuroscience","00016322","Acta Neuropathologica","0001-6322","1432-0533","""Acta Neuropathologicas mission is to publish the best articles on pathology and pathogenesis of neurological disease. The journal focuses on structural and molecular neuropathology using human tissue, animal models and in vitro systems. The journal publishes Original Papers, Review Articles, Case Reports and Scientific Correspondence. ""","Nature","","https://www.springer.com/journal/401/submission-guidelines",1,"Encourages dataset citation.",1,"Requires availability statement.",1,"Requires availability statement.",0,"No mention of study materials sharing or availability statement.",1,"Recommends a variety of reporting checklists.",0,"No mention of preregistration.",0,"No mention of preregistration with analysis plans.",0,"No mention of replication.",0,"No mention.",0,"No mention.",4
"126","00016993","2023",5381,16865,"Acta Sociologica","journal","00016993, 15023869",0.883,"Q1",62,46,73,2334,189,73,2.33,50.74,"United Kingdom","Western Europe","SAGE Publications Ltd","1956-1959, 1962, 1964-2023","Sociology and Political Science (Q1)","Social Sciences","00016993","Acta Sociologica","0001-6993","1502-3869","""Acta Sociologica publishes papers on high-quality innovative sociology, carried out from different theoretical and methodological starting points, in the form of full-length original articles and review essays, as well as book reviews and commentaries. Articles that present Nordic sociology or help mediate between Nordic and international scholarly discussions are encouraged.""","SAGE","","https://journals.sagepub.com/author-instructions/ASJ",0,"No mention.",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to:

share your research data in a relevant public data repository
include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared.
cite this data in your research""",0,"""In order to encourage possibilities for the replication of results, we strongly encourage the author(s) to share the relevant code for structuring data and running the analyses (i.e. syntaxes) as an online supplement. Whenever possible, this material should include links to the original data.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"""In order to encourage possibilities for the replication of results, we strongly encourage that the author(s) to share the relevant code for structuring data and running the analyses (i.e. syntaxes) as an online supplement""",0,"No mention.",0,"No mention.",0
"162","00018244","2023",3818,21741,"Behavior Genetics","journal","00018244, 15733297",1.092,"Q1",103,33,131,1861,286,123,2.15,56.39,"United States","Northern America","Springer New York","1970, 1972-2023","Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q2); Genetics (clinical) (Q2)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","00018244","Behavior Genetics","0001-8244","1573-3297","""Behavior Genetics - the leading journal concerned with the genetic analysis of complex traits - is published in cooperation with the Behavior Genetics Association. This timely journal disseminates the most current original research on the inheritance and evolution of behavioral characteristics in humans and other species. Contributions from eminent international researchers focus on both the application of various genetic perspectives to the study of behavioral characteristics and the influence of behavioral differences on the genetic structure of populations.""","Springer","","https://www.springer.com/journal/10519/submission-guidelines",1,"""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list. Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.""",0,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.""",0,"No mention.",0,"No mention.",1,"""Springer Nature advocates complete and transparent reporting of biomedical and biological research and research with biological applications. Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.

Exact requirements may vary depending on the journal; please refer to the journals Instructions for Authors.

Checklists are available for a number of study designs, including:

Randomised trials (CONSORT) and Study protocols (SPIRIT)

Observational studies (STROBE)

Systematic reviews and meta-analyses (PRISMA) and protocols (Prisma-P)

Diagnostic/prognostic studies (STARD) and (TRIPOD)

Case reports (CARE)

Clinical practice guidelines (AGREE) and (RIGHT)

Qualitative research (SRQR) and (COREQ)

Animal pre-clinical studies (ARRIVE)

Quality improvement studies (SQUIRE)

Economic evaluations (CHEERS)""",0,"""The World Health Organization (WHO) definition of a clinical trial is ""any research study that prospectively assigns human participants or groups of humans to one or more health-related interventions to evaluate the effects on health outcomes"". The WHO defines health interventions as A health intervention is an act performed for, with or on behalf of a person or population whose purpose is to assess, improve, maintain, promote or modify health, functioning or health conditions and a health-related outcome is generally defined as a change in the health of a person or population as a result of an intervention.

To ensure the integrity of the reporting of patient-centered trials, authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories. For example www.clinicaltrials.gov or any of the primary registries that participate in the WHO International Clinical Trials Registry Platform.

The trial registration number (TRN) and date of registration should be included as the last line of the manuscript abstract.

For clinical trials that have not been registered prospectively, authors are encouraged to register retrospectively to ensure the complete publication of all results. The trial registration number (TRN), date of registration and the words 'retrospectively registered should be included as the last line of the manuscript abstract.

Purely observational trials will not require registration.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"179","00018392","2023",39,16036,"Administrative Science Quarterly","journal","00018392, 19303815",14.175,"Q1",210,28,92,3163,1260,86,10.59,112.96,"United States","Northern America","Johnson School at Cornell University","1975-1987, 1989-1990, 1993-1994, 1996-2023","Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)","Arts and Humanities; Social Sciences","00018392","Administrative Science Quarterly","0001-8392","1930-3815","""Administrative Science Quarterly, owned and managed by the Samuel Curtis Johnson Graduate School of Management at Cornell University, has been at the cutting edge of organizational studies since the field began. This top-tier journal regularly publishes the best theoretical and empirical papers based on dissertations and on the evolving and new work of more established scholars, as well as interdisciplinary work in organizational theory, and informative book reviews.""","SAGE","","https://journals.sagepub.com/author-instructions/ASQ#_Submission_Guidelines_1",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"202","00020397","2023",7804,15060,"Africa Spectrum","journal","00020397",0.675,"Q1",29,16,51,975,143,48,1.84,60.94,"Germany","Western Europe","Institut fur Afrika-Kunde","1983-1984, 2006-2023","Cultural Studies (Q1); Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)","Social Sciences","00020397","Africa Spectrum","0002-0397","1868-6869","""Africa Spectrum is published by the GIGA Institute for African Affairs (IAA) in Hamburg. It is a peer-reviewed open access journal dedicated to original research on the politics, societies, and economics of sub-Saharan Africa. As a multidisciplinary journal Africa Spectrum welcomes submissions employing a variety of theoretical and methodological approaches.""","SAGE","","https://journals.sagepub.com/author-instructions/AFR",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"229","00020729","2023",1811,28093,"Age and Ageing","journal","00020729, 14682834",1.696,"Q1",168,257,875,10126,4181,773,4.57,39.4,"United Kingdom","Western Europe","Oxford University Press","1972-2023","Aging (Q1); Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine","00020729","Age and Ageing","0002-0729","1468-2834","""Age and Ageing is an international journal publishing refereed original research, review articles and editorial pieces on geriatric medicine and clinical gerontology. Its scope includes applied and clinical research on human ageing and clinical, epidemiological and psychological aspects of later life, medical education and service improvement. We place particular emphasis on material which will be of immediate interest to clinicians. We rarely publish analyses of epidemiological studies where the clinical, health policy or educational implications are not clear. We do not publish in vitro or animal studies.""","Oxford University Press","","https://academic.oup.com/ageing/pages/General_Instructions",0,"Mentions database citation for Systematic Reviews, but not for all submission types.",0,"No mention of data sharing requirement or availability statement.",0,"No mention of code sharing or code availability statement.",0,"No mention of study materials sharing or availability statement.",1,"Encourages use of PRISMA and CONSORT.",0,"No mention of preregistration.",0,"No mention of preregistration with analysis plans.",0,"No mention of replication.",0,"No mention.",0,"No mention.",1
